"recordNo","rackNo","face","sectionNo","sectionLabel","pinXRatio","pinYRatio","pinType","level","member","location","streetFrom","streetTo","memberSize","corrosionRank","remarks","measuredThicknessMm","overviewPhotoFile","overviewLatitude","overviewLongitude","overviewAccuracyMeters","overviewLocationCapturedAtMillis","closeupPhotoFile","closeupLatitude","closeupLongitude","closeupAccuracyMeters","closeupLocationCapturedAtMillis"
"Area2-X-S01-016","Area2","Common","1","","0.6040134","0.4666704","腐食所見","Z3","ガセットプレート (GPL)","X3通り","Y9-7","","CT-100×100×5.5×8 (G3)","D","6.0","5.0","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-016.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-017","Area2","Common","1","","0.63153934","0.4628761","腐食所見","Z3","ガセットプレート (GPL)","X3通り","Y9-9","","CT-100×100×5.5×8 (G3)","D","6.0","4.0","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-017.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-018","Area2","Common","1","","0.6538048","0.46322107","腐食所見","Z3","スプライスプレート (SP)","X3通り","Y9-10","Y10","CT-100×100×5.5×8 (G3)","D","6.0","5.0","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-018.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-019","Area2","Common","1","","0.68597955","0.4641409","腐食所見","Z3","ガセットプレート (GPL)","X2通り","Y11-1","","H-150×150×7×10 (Sb4)","D","6.0","4.1","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-019.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-020","Area2","Common","1","","0.6976975","0.4644376","腐食所見","Z3","スプライスプレート (SP)","X2通り","Y11-1","Y11-2","CT-100×100×5.5×8 (G3)","D","6.0","5.0","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-020.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-021","Area2","Common","1","","0.7167821","0.4655874","腐食所見","Z3","フランジ (FL)","X2通り","Y11-3","","CT-100×100×5.5×8 (G3)","D","8.0","6.8","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-021.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-022","Area2","Common","1","","0.73134035","0.46282777","腐食所見","Z3","ガセットプレート (GPL)","X2通り","Y11-4","","CT-100×100×5.5×8 (G3)","D","6.0","4.9","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-022.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-023","Area2","Common","1","","0.7432074","0.46305773","腐食所見","Z3","ガセットプレート (GPL)","X2通り","Y11-5","","CT-100×100×5.5×8 (G3)","D","6.0","4.8","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-023.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-024","Area2","Common","1","","0.76057935","0.461678","腐食所見","Z3","ガセットプレート (GPL)","X2通り","Y11-6","","CT-100×100×5.5×8 (G3)","D","6.0","4.9","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-024.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-025","Area2","Common","1","","0.7769726","0.46190798","腐食所見","Z3","ガセットプレート (GPL)","X2通り","Y11-7","","CT-100×100×5.5×8 (G3)","B","表面錆","","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-025.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-026","Area2","Common","1","","0.8056092","0.46341723","腐食所見","Z3","ガセットプレート (GPL)","X2通り","Y11-9","","CT-100×100×5.5×8 (G3)","D","6.0","5.4","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-026.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-027","Area2","Common","1","","0.82028985","0.46537194","腐食所見","Z3","ガセットプレート (GPL)","X2通り","Y11-10","","CT-100×100×5.5×8 (G3)","D","6.0","5.0","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-027.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-028","Area2","Common","1","","0.833747","0.46468204","腐食所見","Z3","スチフナー (STF)","X2通り","Y11-11","","CT-100×100×5.5×8 (G3)","D","6.0","5.3","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-028.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-029","Area2","Common","1","","0.84806055","0.46272734","腐食所見","Z3","ガセットプレート (GPL)","X2通り","Y11-12","","CT-100×100×5.5×8 (G3)","D","6.0","5.1","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-029.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-030","Area2","Common","1","","0.86335266","0.4638771","腐食所見","Z3","ガセットプレート (GPL)","X2通り","Y11-13","","CT-100×100×5.5×8 (G3)","D","6.0","5.4","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-030.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-031","Area2","Common","1","","0.8785226","0.46065772","腐食所見","Z3","ガセットプレート (GPL)","X2通り","Y11-14","","CT-100×100×5.5×8 (G3)","D","6.0","4.8","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-031.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-032","Area2","Common","1","","0.8820978","0.464295","腐食所見","Z3","スプライスプレート (SP)","X2通り","Y11-14","Y12","CT-100×100×5.5×8 (G3)","D","6.0","5.3","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-032.jpg","36.48271058333333","136.58259701666665","2.6892107","1787541344700"
"Area2-X-S01-033","Area2","Common","1","","0.30657554","0.43462625","腐食所見","Z5","フランジ (FL)","X3通り","Y7-9","","C-150x75x6.5x10 (Sb5)","D","-2","","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-033.jpg","36.4405808","136.5722798","87.6","1787615582314"
"Area2-X-S01-034","Area2","Common","1","","0.35825878","0.44867575","腐食所見","Z4","フランジ (FL)","X3通り","Y8-1","","CT-100×100×5.5×8 (G3)","D","8.0","6.7","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-034.jpg","36.4426528","136.5731365","104.1","1787616000755"
"Area2-X-S01-035","Area2","Common","1","","0.36070558","0.45155025","腐食所見","Z4","ガセットプレート (GPL)","X3通り","Y8-1","","H-150×150×7×10 (P1)","D","6.0","5.4","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-035.jpg","36.4409628","136.5719289","80.604","1787616211203"
"Area2-X-S01-036","Area2","Common","1","","0.39031133","0.44902068","腐食所見","Z4","ガセットプレート (GPL)","X3通り","Y8-3","","CT-100×100×5.5×8 (G3)","D","6.0","4.8","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-036.jpg","36.4399258","136.5731109","104.1","1787616440440"
"Area2-X-S01-037","Area2","Common","1","","0.51704997","0.44810078","腐食所見","Z4","フランジ (FL)","X2通り","Y9-1","","CT-100×100×5.5×8 (G3)","D","8.0","7.0","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-037.jpg","36.4399258","136.5731109","104.1","1787616440440"
"Area2-X-S01-038","Area2","Common","1","","0.5254596","0.45107737","腐食所見","Z4","スプライスプレート (SP)","X2通り","Y9-1","Y9-2","CT-100×100×5.5×8 (G3)","D","6.0","5.1","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-038.jpg","36.4417064","136.5714518","82.5","1787617114309"
"Area2-X-S01-039","Area2","Common","1","","0.6056163","0.44837573","腐食所見","Z4","ガセットプレート (GPL)","X2通り","Y9-7","","CT-100×100×5.5×8 (G3)","D","6.0","5.2","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-039.jpg","36.4417064","136.5714518","82.5","1787618581300"
"Area2-X-S01-040","Area2","Common","1","","0.6622584","0.44941068","腐食所見","Z4","フランジ (FL)","X2通り","Y10","","ｃ150","D","3.2","2.4","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-040.jpg","36.4411217","136.5718809","87.6","1787619217442"
"Area2-X-S01-041","Area2","Common","1","","0.66201377","0.45148027","腐食所見","Z4","ガセットプレート (GPL)","X2通り","Y10","","H-150×150×7×10 (P1)","D","6.0","5.1","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-041.jpg","36.4411217","136.5718809","87.6","1787619217442"
"Area2-X-S01-042","Area2","Common","1","","0.69149727","0.44998562","腐食所見","Z4","ウェブ (WB)","X2通り","Y11-1","","c150","D","3.2","2.2","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-042.jpg","36.4411217","136.5718809","87.6","1787619217442"
"Area2-X-S01-043","Area2","Common","1","","0.69895995","0.44826096","腐食所見","Z4","スプライスプレート (SP)","X2通り","Y11-1","","CT-100×100×5.5×8 (G3)","D","6.0","5.0","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-043.jpg","36.4411217","136.5718809","87.6","1787619217442"
"Area2-X-S01-044","Area2","Common","1","","0.74758935","0.4486635","腐食所見","Z4","ガセットプレート (GPL)","X2通り","Y11-5","","CT-100×100×5.5×8 (G3)","D","6.0","5.0","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-044.jpg","36.4417064","136.5714518","82.5","1787619622631"
"Area2-X-S01-045","Area2","Common","1","","0.81809545","0.4490995","腐食所見","Z4","フランジ (FL)","X2通り","Y11-10","","CT-100×100×5.5×8 (G3)","D","8.0","6.9","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-045.jpg","36.4411142","136.5718387","79.0","1787619803478"
"Area2-X-S01-046","Area2","Common","1","","0.81858486","0.451859","腐食所見","Z4","ガセットプレート (GPL)","X2通り","Y11-10","","CT-100×100×5.5×8 (G3)","D","6.0","4.9","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-046.jpg","36.4417212","136.5715208","29.297","1787620012181"
"Area2-X-S01-047","Area2","Common","1","","0.8727671","0.44721657","腐食所見","Z4","ガセットプレート (GPL)","X2通り","Y11-14","","CT-100×100×5.5×8 (G3)","D","6.0","5.2","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-047.jpg","36.4416675","136.5715073","68.4","1787620323657"
"Area2-X-S01-048","Area2","Common","1","","0.88989437","0.44997597","腐食所見","Z4","フランジ (FL)","X2通り","Y12","","CT-100×100×5.5×8 (G3)","D","8.0","7.1","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-048.jpg","36.4416675","136.5715073","68.4","1787620323657"
"Area2-X-S01-049","Area2","Common","1","","0.89013904","0.4612439","腐食所見","Z3","その他","X2通り","Y12","","その他","その他","表面錆","","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-049.jpg","36.4416972","136.571467","45.6","1787620596146"
"Area2-X-S01-050","Area2","Common","1","","0.83014274","0.82878965","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y7-2","","CT-100×100×5.5×8 (G3)","D","6.0","3.7","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-050.jpg","36.4405683","136.5722708","28.1","1787622382642"
"Area2-X-S01-051","Area2","Common","1","","0.8137694","0.831474","腐食所見","Z3","フランジ (FL)","X1通り","Y7-3","","CT-100×100×5.5×8 (G3)","D","8.0","6.9","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-051.jpg","36.4405683","136.5722708","28.1","1787622382642"
"Area2-X-S01-052","Area2","Common","1","","0.7582279","0.82733464","腐食所見","Z3","ウェブ (WB)","X1通り","Y7-7","","CT-100×100×5.5×8 (G3)","D","5.5","4.5","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-052.jpg","36.4405462","136.5723793","77.6","1787622825302"
"Area2-X-S01-053","Area2","Common","1","","0.72605306","0.8271046","腐食所見","Z3","ウェブ (WB)","X1通り","Y7-9","","CT-100×100×5.5×8 (G3)","D","5.5","4.7","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-053.jpg","36.4405811","136.5722815","77.6","1787623099981"
"Area2-X-S01-054","Area2","Common","1","","0.7127181","0.82951903","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y7-10","","CT-100×100×5.5×8 (G3)","D","6.0","4.9","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-054.jpg","36.4405811","136.5722815","77.6","1787623099981"
"Area2-X-S01-055","Area2","Common","1","","0.6980376","0.8290591","腐食所見","Z3","スチフナー (STF)","X1通り","Y7-11","","CT-100×100×5.5×8 (G3)","D","6.0","5.3","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-055.jpg","36.4405808","136.5722798","87.6","1787623280619"
"Area2-X-S01-056","Area2","Common","1","","0.68054324","0.82859945","腐食所見","Z3","スプライスプレート (SP)","X1通り","Y7-12","Y8-1","CT-100×100×5.5×8 (G3)","D","6.0","5.0","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-056.jpg","36.4405808","136.5722798","87.6","1787623280619"
"Area2-X-S01-057","Area2","Common","1","","0.66928816","0.8312441","腐食所見","Z3","スプライスプレート (SP)","X1通り","Y8-1","Y8-2","CT-100×100×5.5×8 (G3)","A","6.0","5.2","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-057.jpg","36.4405808","136.5722798","87.6","1787623280619"
"Area2-X-S01-058","Area2","Common","1","","0.620006","0.8287146","腐食所見","Z3","ウェブ (WB)","X1通り","Y8-5","","CT-100×100×5.5×8 (G3)","A","5.5","4.9","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-058.jpg","36.4405808","136.5722798","87.6","1787623280619"
"Area2-X-S01-059","Area2","Common","1","","0.61755925","0.82986444","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y8-5","","CT-100×100×5.5×8 (G3)","D","6.0","3.6","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-059.jpg","36.4405808","136.5722798","87.6","1787623280619"
"Area2-X-S01-060","Area2","Common","1","","0.5990563","0.8291249","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y8-6","","CT-100×100×5.5×8 (G3)","D","6.0","5.0","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-060.jpg","36.4405808","136.5722798","87.6","1787631683593"
"Area2-X-S01-061","Area2","Common","1","","0.5896485","0.8291087","腐食所見","Z3","ウェブ (WB)","X1通り","Y8-7","","CT-100×100×5.5×8 (G3)","D","5.5","4.5","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-061.jpg","36.4405808","136.5722798","87.6","1787631683593"
"Area2-X-S01-062","Area2","Common","1","","0.5890921","0.82888037","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y8-7","","CT-100×100×5.5×8 (G3)","D","6.0","5.1","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-062.jpg","36.4405808","136.5722798","87.6","1787631683593"
"Area2-X-S01-063","Area2","Common","1","","0.5740446","0.8319849","腐食所見","Z3","スチフナー (STF)","X1通り","Y8-8","","CT-100×100×5.5×8 (G3)","D","6.0","4.7","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-063.jpg","36.4405795","136.5722807","92.9","1787632652445"
"Area2-X-S01-064","Area2","Common","1","","0.5757573","0.83267474","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y8-8","","CT-100×100×5.5×8 (G3)","D","6.0","5.0","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-064.jpg","36.4405795","136.5722807","92.9","1787632652445"
"Area2-X-S01-065","Area2","Common","1","","0.5603427","0.83152497","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y8-9","","CT-100×100×5.5×8 (G3)","D","6.0","4.6","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-065.jpg","36.4405795","136.5722807","92.9","1787632652445"
"Area2-X-S01-066","Area2","Common","1","","0.5459876","0.83113486","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y8-10","","CT-100×100×5.5×8 (G3)","D","6.0","4.4","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-066.jpg","36.4405795","136.5722807","92.9","1787632652445"
"Area2-X-S01-067","Area2","Common","1","","0.5457429","0.8290652","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y8-10","","CT-100×100×5.5×8 (G3)","D","6.0","4.1","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-067.jpg","36.4405795","136.5722807","92.9","1787632652445"
"Area2-X-S01-068","Area2","Common","1","","0.5273922","0.8297551","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y8-11","","CT-100×100×5.5×8 (G3)","D","6.0","2.4","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-068.jpg","36.4405795","136.5722807","92.9","1787632652445"
"Area2-X-S01-069","Area2","Common","1","","0.5220093","0.8309049","腐食所見","Z3","スプライスプレート (SP)","X1通り","Y8-11","Y9-1","CT-100×100×5.5×8 (G3)","D","6.0","4.5","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-069.jpg","36.4405795","136.5722807","92.9","1787632652445"
"Area2-X-S01-070","Area2","Common","1","","0.5161371","0.8290652","腐食所見","Z3","スプライスプレート (SP)","X1通り","Y9-1","","CT-100×100×5.5×8 (G3)","D","6.0","5.0","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-070.jpg","36.4417035","136.5714504","87.6","1787633012625"
"Area2-X-S01-071","Area2","Common","1","","0.48579735","0.8329745","腐食所見","Z3","フランジ (FL)","X1通り","Y9-3","","CT-100×100×5.5×8 (G3)","D","8.0","5.8","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-071.jpg","36.4417035","136.5714504","87.6","1787633012625"
"Area2-X-S01-072","Area2","Common","1","","0.46006903","0.8303521","腐食所見","Z3","フランジ (FL)","X1通り","Y9-5","","CT-100×100×5.5×8 (G3)","D","8.0","6.5","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-072.jpg","36.4417035","136.5714504","87.6","1787633012625"
"Area2-X-S01-073","Area2","Common","1","","0.43083033","0.8295472","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y9-7","","CT-100×100×5.5×8 (G3)","D","6.0","4.2","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-073.jpg","36.4417064","136.5714518","82.5","1787633405699"
"Area2-X-S01-074","Area2","Common","1","","0.40171394","0.83000714","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y9-9","","CT-100×100×5.5×8 (G3)","D","6.0","3.3","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-074.jpg","36.4405849","136.5722935","30.0","1787634900854"
"Area2-X-S01-075","Area2","Common","1","","0.37975428","0.8327091","腐食所見","Z3","ウェブ (WB)","X1通り","Y9-10","Y10","CT-100×100×5.5×8 (G3)","D","5.5","5.1","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-075.jpg","36.4417078","136.5714563","77.6","1787635081598"
"Area2-X-S01-076","Area2","Common","1","","0.3758395","0.8292598","腐食所見","Z3","フランジ (FL)","X1通り","Y10","","c150","D","3.2","1.0","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-076.jpg","36.4417078","136.5714563","77.6","1787635081598"
"Area2-X-S01-077","Area2","Common","1","","0.3731481","0.83063954","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y10","","H-150×150×7×10 (P1)","D","6.0","4.8","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-077.jpg","36.4417078","136.5714563","77.6","1787635081598"
"Area2-X-S01-078","Area2","Common","1","","0.34525508","0.83017963","腐食所見","Z3","フランジ (FL)","X1通り","Y11-1","","c150","D","3.2","1.4","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-078.jpg","36.4417078","136.5714563","77.6","1787635081598"
"Area2-X-S01-079","Area2","Common","1","","0.34819114","0.8299496","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y11-1","","H-150×150×7×10 (P1)","D","6.0","4.9","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-079.jpg","36.4408736","136.5719952","87.6","1787635501673"
"Area2-X-S01-080","Area2","Common","1","","0.34675282","0.83382493","腐食所見","Z3","スプライスプレート (SP)","X1通り","Y11-1","","CT-100×100×5.5×8 (G3)","D","6.0","5.0","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-080.jpg","36.4417035","136.5714504","87.6","1787635682674"
"Area2-X-S01-081","Area2","Common","1","","0.32938084","0.8317553","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y11-2","","CT-100×100×5.5×8 (G3)","D","6.0","2.6","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-081.jpg","36.4417035","136.5714504","87.6","1787635682674"
"Area2-X-S01-082","Area2","Common","1","","0.30148783","0.83083546","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y11-4","","CT-100×100×5.5×8 (G3)","D","6.0","5.1","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-082.jpg","36.4417064","136.5714518","82.5","1787635863616"
"Area2-X-S01-083","Area2","Common","1","","0.28631794","0.82922584","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y11-5","","CT-100×100×5.5×8 (G3)","D","6.0","3.2","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-083.jpg","36.4417064","136.5714518","82.5","1787635863616"
"Area2-X-S01-084","Area2","Common","1","","0.27481818","0.8287659","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y11-6","","CT-100×100×5.5×8 (G3)","D","6.0","5.2","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-084.jpg","36.4417078","136.5714563","77.6","1787636224501"
"Area2-X-S01-085","Area2","Common","1","","0.24579787","0.8285328","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y11-8","","CT-100×100×5.5×8 (G3)","D","6.0","4.3","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-085.jpg","36.4417083","136.57146","72.9","1787636411955"
"Area2-X-S01-086","Area2","Common","1","","0.23111734","0.82738304","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y11-9","","CT-100×100×5.5×8 (G3)","D","6.0","3.8","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-086.jpg","36.4417083","136.57146","72.9","1787636411955"
"Area2-X-S01-087","Area2","Common","1","","0.26121244","0.82876277","腐食所見","Z3","ガセットプレート (GPL)","X1通り","Y11-7","","CT-100×100×5.5×8 (G3)","D","6.0","4.9","Area2-X-S01-overview.jpg","","","","","Area2-X-S01-087.jpg","36.4416788","136.5714943","68.4","1787636595973"
